账单行号,单号,快递公司,目的地省,账单重量,账单快递费,账单操作费,账单金额,商家ID,在订单中,订单快递,订单省份,订单重量,理论重量,理论快递费,理论总费用,费用差异,重量匹配,状态
7487,321128848228651,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,江苏省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7488,435170893044434,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7489,435170871120201,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7490,321128783563728,韵达快递,河北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7491,321129485611471,韵达快递,辽宁省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7492,435173114076470,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7493,321130947015604,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7494,321130930904247,韵达快递,湖南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,湖南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7495,321131701173515,韵达快递,吉林省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7496,321130930890340,韵达快递,山东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7497,321131882422578,韵达快递,福建省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7498,321131700158056,韵达快递,新疆维吾尔自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7499,321131685600595,韵达快递,陕西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7500,321131697384353,韵达快递,福建省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7501,321131678759837,韵达快递,湖北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7502,435173325083706,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7503,435172596181315,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7504,321131879583546,韵达快递,山东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7505,321130945301612,韵达快递,河南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,河南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7506,435173525233729,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7507,435172982526501,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7508,435173108683720,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7509,321130932621128,韵达快递,重庆市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,重庆,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7510,321131496750472,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广西壮族自治区,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7511,435173388421188,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7512,435173118739816,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7513,435173518261325,韵达快递,北京市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7514,435172579971981,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7515,321130927860210,韵达快递,安徽省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,安徽省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7516,435172640159063,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7517,321130921995306,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,江苏省,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
7518,435173112577096,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广西壮族自治区,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7519,321130921968900,韵达快递,天津市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,天津,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7520,435172600882441,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7521,321130927933106,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7522,321130932652015,韵达快递,辽宁省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,辽宁省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7523,435173332838324,韵达快递,海南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7524,321132966811671,韵达快递,河南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7525,435175210553850,韵达快递,内蒙古自治区,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,内蒙古自治区,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7526,435175202031346,韵达快递,河北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,河北省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7527,435174389507991,韵达快递,河南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,河南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7528,435175212136589,韵达快递,云南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,云南省,0.6,0.6,2.8,3.7,0,差异(1 vs 0.6),金额一致
7529,435174401805819,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7530,435175275898421,韵达快递,江西省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江西省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7531,435174896516422,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7532,435175006129848,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,上海,0.02,0.02,2.8,3.7,0,差异(1 vs 0.02),金额一致
7533,435174982702249,韵达快递,河北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,河北省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7534,435174386366039,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7535,435174907343955,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7536,435174890114652,韵达快递,黑龙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7537,321133865657224,韵达快递,黑龙江省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,黑龙江省,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
7538,321132961922019,韵达快递,海南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7539,435174394880054,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7540,435175213728148,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7541,435174438721180,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,上海,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7542,321133496698243,韵达快递,上海市,1,2.8,0.9,3.7,Hiigge(149048504),否,,,,,,,,,未在发货订单中
7543,435175303120338,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7544,435175190395303,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.6,0.6,2.8,3.7,0,差异(1 vs 0.6),金额一致
7545,435176934641256,韵达快递,陕西省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7546,435176636590948,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,福建省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7547,435176521521569,韵达快递,黑龙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7548,428187434777232,韵达快递,浙江省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,浙江省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
7549,435176127848327,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7550,321135439170778,韵达快递,云南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7551,435176641986606,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
7552,435176102824375,韵达快递,河南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7553,435176924529207,韵达快递,重庆市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7554,435176139485978,韵达快递,北京市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,北京,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7555,435176142591976,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7556,435176113782726,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7557,435176900897145,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7558,321135783527429,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7559,435176888388605,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7560,321135780503581,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7561,435176527012559,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7562,435177522959510,韵达快递,山西省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山西省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7563,435178177827683,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,四川省,1,1,2.8,3.7,0,一致,金额一致
7564,321137639041385,韵达快递,福建省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,福建省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7565,435177519030889,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7566,321136637103773,韵达快递,山西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山西省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7567,321136611780887,韵达快递,湖南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7568,435178102554006,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7569,321137613717858,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广西壮族自治区,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7570,321137615892749,韵达快递,河北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7571,321137629217969,韵达快递,陕西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,陕西省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7572,321137619575834,韵达快递,江西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,江西省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7573,321137398700397,韵达快递,山西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山西省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
7574,435177516777612,韵达快递,江西省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7575,321137343366828,韵达快递,福建省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,福建省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7576,321136621810123,韵达快递,山东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7577,321136628422648,韵达快递,云南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7578,435178100975182,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7579,428187345523343,韵达快递,四川省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,四川省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
7580,435178415757045,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7581,321137347459146,韵达快递,宁夏回族自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,宁夏回族自治区,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7582,435177529920266,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7583,435178440550720,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7584,321135786350353,韵达快递,浙江省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,浙江省,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
7585,435178435207634,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7586,321136619693080,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7587,321137733468329,韵达快递,天津市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7588,435177521382540,韵达快递,云南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7589,321137627303189,韵达快递,北京市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,北京,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7590,321137629218867,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,江苏省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7591,435178384073785,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7592,321137365334061,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7593,321137336801480,韵达快递,湖北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,湖北省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7594,435176952256532,韵达快递,辽宁省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,辽宁省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7595,435177526048041,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7596,435178150609690,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7597,435179601594818,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7598,435179152636984,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7599,435179233092795,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7600,321139714343754,韵达快递,四川省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,四川省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7601,435179607828592,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7602,321138640336090,韵达快递,浙江省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,浙江省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7603,321138769873145,韵达快递,山东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7604,321138622960673,韵达快递,山东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7605,321139222704894,韵达快递,安徽省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7606,321138632494947,韵达快递,贵州省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,贵州省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7607,321138759969625,韵达快递,浙江省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,浙江省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7608,435179640979026,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7609,321138724951177,韵达快递,浙江省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,浙江省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7610,435179638344330,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7611,435179322570624,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,上海,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
7612,435180083770246,韵达快递,贵州省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,贵州省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7613,321139722087479,韵达快递,河北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,河北省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7614,321138759938154,韵达快递,北京市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,北京,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7615,321139203962588,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7616,321139683963068,韵达快递,辽宁省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,辽宁省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7617,321138749263160,韵达快递,重庆市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,重庆,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7618,321139595855519,韵达快递,安徽省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7619,435179221935332,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7620,321139217798861,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7621,435179989702290,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7622,321138739267157,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
7623,435179607826032,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7624,321140779600315,韵达快递,四川省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,四川省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7625,321141520845383,韵达快递,新疆维吾尔自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,新疆维吾尔自治区,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
7626,435180897009209,韵达快递,贵州省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,贵州省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7627,435181530063561,韵达快递,黑龙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,黑龙江省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7628,435181668771321,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,福建省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7629,435181376547507,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7630,321140782461574,韵达快递,河北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,河北省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7631,321140794462273,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7632,321141681006138,韵达快递,湖北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,湖北省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7633,435180891674389,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7634,321140788733267,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,江苏省,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
7635,321141672157181,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7636,435180887858004,韵达快递,辽宁省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,辽宁省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7637,428187488388346,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
7638,321141526589643,韵达快递,河北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,河北省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7639,435180884788968,韵达快递,天津市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,天津,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7640,435180893235979,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7641,321142776741736,韵达快递,河北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7642,435182560986496,韵达快递,黑龙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7643,435183077723525,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,福建省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
7644,435182553329706,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7645,435182564918185,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7646,435182552484325,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7647,428187997830949,韵达快递,广东省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
7648,435182557872696,韵达快递,湖北省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7649,435183045262090,韵达快递,湖北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖北省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7650,428187583484351,韵达快递,海南省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,海南省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
7651,435182563349996,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7652,321143329865839,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
7653,435183445404816,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广西壮族自治区,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
7654,321142781646538,韵达快递,北京市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7655,435182549390920,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7656,435182552483417,韵达快递,天津市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7657,321142786398630,韵达快递,天津市,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
7658,321142768944061,韵达快递,广西壮族自治区,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
